iter	Passed	Remaining
1526	174004	110874
1527	174127	110767
1528	174237	110650
1529	174333	110525
1530	174436	110404
1531	174538	110282
1532	174633	110156
1533	174739	110037
1534	174843	109918
1535	174920	109780
1536	175021	109658
1537	175111	109530
1538	175207	109405
1539	175297	109276
1540	175386	109147
1541	175502	109034
1542	175607	108915
1543	175710	108794
1544	175797	108664
1545	175897	108542
1546	176005	108425
1547	176119	108311
1548	176213	108185
1549	176303	108056
1550	176392	107927
1551	176494	107807
1552	176595	107685
1553	176689	107559
1554	176810	107451
1555	176910	107328
1556	177004	107203
1557	177112	107085
1558	177236	106978
1559	177354	106867
1560	177465	106752
1561	177568	106632
1562	177659	106505
1563	177752	106379
1564	177852	106256
1565	177964	106142
1566	178074	106026
1567	178174	105904
1568	178273	105782
1569	178372	105660
1570	178452	105526
1571	178559	105409
1572	178644	105278
1573	178738	105153
1574	178832	105028
1575	178923	104901
1576	179016	104776
1577	179122	104658
1578	179217	104533
1579	179308	104407
1580	179410	104287
1581	179501	104160
1582	179592	104034
1583	179686	103909
1584	179772	103780
1585	179865	103654
1586	179955	103528
1587	180050	103404
1588	180134	103274
1589	180227	103148
1590	180326	103027
1591	180433	102910
1592	180529	102787
1593	180622	102662
1594	180707	102533
1595	180797	102406
1596	180894	102284
1597	180985	102158
1598	181091	102040
1599	181181	101914
1600	181275	101790
1601	181382	101673
1602	181494	101560
1603	181594	101439
1604	181691	101317
1605	181782	101191
1606	181859	101058
1607	181945	100930
1608	182037	100805
1609	182129	100680
1610	182226	100558
1611	182313	100430
1612	182401	100304
1613	182491	100178
1614	182585	100054
1615	182676	99929
1616	182797	99820
1617	182890	99697
1618	182975	99568
1619	183068	99444
1620	183160	99320
1621	183255	99197
1622	183341	99069
1623	183432	98945
1624	183536	98827
1625	183628	98703
1626	183724	98581
1627	183824	98461
1628	183922	98340
1629	184031	98225
1630	184134	98107
1631	184224	97982
1632	184319	97859
1633	184411	97735
1634	184493	97606
1635	184582	97481
1636	184687	97364
1637	184800	97251
1638	184898	97130
1639	184974	96998
1640	185075	96879
1641	185172	96758
1642	185264	96635
1643	185355	96511
1644	185449	96388
1645	185528	96258
1646	185613	96131
1647	185699	96004
1648	185800	95885
1649	185888	95760
1650	185985	95640
1651	186076	95516
1652	186163	95390
1653	186261	95270
1654	186358	95150
1655	186441	95021
1656	186534	94899
1657	186626	94776
1658	186724	94656
1659	186830	94540
